 CRE ARIANA,,,,,,,,,,,,,,,,
N°,Nom de projet ,L'Ingénieur chargé de l'affaire,D.A.O,,,D0,EXE,,,Nbre des V.tes ,Nbre des V.tes éffect,Avcment des travaux,R PRO,D6,R DEF,Observations
,,,Str,Elec,Fl,,Str,Elec,Fl,,,,,,,
1,Construction du lycée jardin EL MENZEH 2 à M'NIHLA.,Abdelwaheb Bannour                                                      Gmati Salem,X,X,X,X,X,X,X,F,18,60%,,X,,Travaux en cours                                                                                                        Facture N°1 établie et transmise le 20/10/2022                                                                                                 Facture N°2 établie et transmise le 18/11/2025
2,Aménagement et entretien de l'école primaire HABIB THAMEUR ARIANA LOT N°04.,Abdelwaheb Bannour                                                      Gmati Salem,X,X,X,,X,X,X,F,8,100%,X,,,Travaux réceptionnés                                                                         Facture N°1 établie et transmise le 20/11/2019                                                                                      Facture N°2 établie et transmise le 27/10/2025
3,Aménagement et entretien de l'école primaire HEDI NOUIRA et EL BEHI ADGHAM SOKRA LOT N°08.,Abdelwaheb Bannour                                                      Gmati Salem,X,X,X,,,,,F,2,30%,,,,Travaux en courts                                                                           Facture N°1 établie et transmise le 26/06/2020  
4,Aménagement et extention de l'école primaire KALLAT EL ANDALOUS LOT N°11.,Abdelwaheb Bannour                                                      Gmati Salem,,,,,,,,F,,0%,,,,Travaux non entamés  
5,Aménagement et extention de l'école primaire FARHAT HACHED et SIDI JBALI LOT N°7.,Abdelwaheb Bannour                                                      Gmati Salem,X,,,,X,X,X,F,10,100%,X,,,Travaux réceptionnés                                                                                                                     Facture N°1 établie et transmise le 23/09/2022  
6,Aménagement et extention de l'école primaire SOKRA LA POSTE LOT N°10.,Abdelwaheb Bannour                                                      Gmati Salem,X,X,X,,,X,,F,4,70%,,,,Travaux en cours                                                                                             Facture N°1 établie et transmise le 26/06/2020                                                                                                Facture N°2 établie et transmise le 26/09/2022
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,Lot non prévu,,,,,,,,
,,,,,,,,Dossier non reçu,,,,,,,,
,,,,,,,,Dossier non approuvé,,,,,,,,
,,,,,,,,Dossier reçu et en cours de vérification,,,,,,,,
,,,,,,,,MAJ TUNIS,,,,,,,,
