CRE BEJA,,,,,,,,,,,,,,,,,
N°,Nom de projet ,L'Ingénieur chargé de l'affaire,D.A.O,,,D0,EXE,,,Nbre des V.tes ,Nbre des V.tes éffect,Avcment des travaux,R PRO,D6,R DEF,Observations,
,,,Str,Elec,Fl,,Str,Elec,Fl,,,,,,,,
1,Construction de deux blocs sanitaires à l'école primaire HAWARI BEJA et EL MHALA BEJA.,Abdelwaheb Bannour                                                           Gmati Salem,X,X,,,,,,F,8,80%,,,,                                                                                             Facture N°1 établie et transmise le 09/01/2024,
2,Aménagement de l'école primaire TOUKABER à MEDJEZ EL BEB.,,,,,,,,,F,,0%,,,,Travaux non entamés   ,
3,Réaménagement à l'école primaire AIN TANGA TESTOUR.,Abdelwaheb Bannour ,X,,,,,,,F,,,,,,Travaux non entamés   ,
4,Construction d'un bloc sanitaire et d'une clôture à l'école primaire la République à NEFZA.,Abdelwaheb Bannour                                                           Larbech Adel,X,X,,,,,,F,1,20%,,,,,
5,Réaménagement à l'école préparatoire AL HORRIA BEJA SUD.,,,,,,,,,F,,0%,,,,Travaux non entamés   ,
6,Réaménagement et entretien du foyer de l'école préparatoire KALSADI BEJA SUD.,Larbech Adel                                                                           ,,X,,,,,,F,1,0%,,,,Travaux en cours (BC non reçu),A VERIFIER AVEC ADEL
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,MAJ TUNIS,,,,,,,,,,,,,
