CRE BEN AROUS ,,,,,,,,,,,,,,,,,
N°,Nom de projet ,L'Ingénieur chargé de l'affaire,D.A.O,,,D0,EXE,,,Nbre des V.tes ,Nbre des V.tes éffect,Avcment des travaux,R PRO,D6,R DEF,Observations,
,,,Str,Elec,Fl,,Str,Elec,Fl,,,,,,,,
1,Travaux d'extension du collège BOUMHAL.,,,,,X,,,,31,,0%,,X,,Travaux non entamnés,
2,Travaux d'extension du collège MORNEG.,Abdelwaheb Bannour                                                                   Gmati Salem,X,X,X,X,X,X,X,31,5,100%,X,X,X,Travaux réceptionnés  (absence du BC)                                                       Facture N°1 établie et transmise le 28/04/2025  ,VERIFIER LE BC
3,Travaux d'extension du lycée PILOTE HAMMEM LIF.,,,,,X,,,,31,,0%,,X,,Travaux non entamnés,
4,Travaux d'extension du lycée EL MOUROUJ 6.,,,,,X,,,,31,,0%,,X,,Travaux non entamnés,
5,Travaux d'extension de l'école primaire KHAROUBA à MORNEG.,,,,,X,,,,31,,0%,,X,,Travaux non entamnés,
6,Travaux d'extension de l'école primaire DJEBEL RESSAS à MORNEG.,,,,,X,,,,31,,0%,,X,,,
7,Travaux d'extension de l'école primaire CITE TAYARAN à MORNEG.,,X,,,X,,,,31,2,50%,,X,,,
8,Travaux d'extension de l'école primaire FARCH EL ANNABI à MORNEG.,,X,,,X,,,,31,5,100%,X,X,,,
9,Travaux d'extension de l'école primaire EL SABALA 3 à MORNEG.,,,,,X,,,,31,,0%,,X,,,
10,Travaux d'extension de l'école primaire TARHOUNA à MORNEG.,,,,,X,,,,31,,0%,,X,,,
11,Travaux d'extension de l'école primaire EL BAKBAKA à MORNEG.,,,,,X,,,,31,,0%,,X,,,
12,Travaux d'extension de l'école primaire SIDI SAAD à MORNEG.,,,,,X,,,,31,,0%,,X,,,
13,Travaux d'extension de l'école primaire SIDI MASSOUD à MORNEG.,,,,,X,,,,31,,0%,,X,,,
14,Travaux d'extension de l'école primaire RUE IRAK HAMMAM CHATT à BEN AROUS.,Abdelwaheb Bannour                                                                   Gmati Salem,X,X,X,X,X,X,X,31,5,100%,X,X,,Travaux réceptionnés                                                              Facture N°1 établie et transmise le 08/06/2020                                                                            Facture N°2 établie et transmise le 05/08/2022,
15,Travaux d'extension de l'école primaire KHAZNADAR EZZAHRA à BEN AROUS.,,X,X,X,X,X,X,X,,4,100%,,X,,,
16,Travaux d'extension de l'école primaire NAASSEN 3 à BEN AROUS.,,X,X,X,X,X,X,X,,3,100%,X,X,X,,
17,Travaux d'extension de l'école primaire HIDHAB 2 FOUCHANA à BEN AROUS.,,X,X,X,X,X,X,X,,3,100%,X,X,X,,
18,Travaux d'extension de l'école primaire BASSATIN 3 BOUMHEL à BEN AROUS.,,X,X,X,X,X,X,X,,3,100%,X,X,X,,
19,Aménagement et extension de l'école primaire TAIB MHIRI MHAMDIA à BEN AROUS.,Abdelwaheb Bannour                                                                   Gmati Salem,X,X,X,X,X,X,X,31,5,100%,,X,,Travaux terminés                                                                                            Facture N°1 établie et transmise le 05/08/2022,
20,Aménagement de l'école préparatoire ABDALLAH FARHAT - RADES.,Abdelwaheb Bannour                                                                   Gmati Salem,X,X,,,,X,,,6,100%,X,,,Travaux réceptionnés                                                      (absence de consultation et BC)        ,VERIFIER LE BC
21,Aménagement et entretien de l'école primaire KHAIREDDINE BECHA à BEN AROUS. ,Abdelwaheb Bannour                                                                   Gmati Salem,X,X,X,X,X,X,X,31,19,100%,X,X,X,Travaux réceptionnés                                                              Facture N°1 établie et transmise le 05/08/2022,
22,Aménagement et extension de l'école primaire EL AMAL BASSATINE à EL MOUROUJ1.,Abdelwaheb Bannour                                                                   Gmati Salem,X,X,X,X,X,X,X,31,15,100%,X,X,X,Travaux réceptionnés                                                               Facture N°1 établie et transmise le 30/06/2022,A SOLDER
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,Lot non prévu,,,,,,,,
,,,,,,,,,Dossier non reçu,,,,,,,,
,,,,,,,,,Dossier non approuvé,,,,,,,,
,,,,,,,,,Dossier reçu et en cours de vérification,,,,,,,,
,,,,,,,,,MAJ TUNIS,,,,,,,,
