CRE BIZERTE,,,,,,,,,,,,,,,,,
N°,Nom de projet ,L'Ingénieur chargé de l'affaire,D.A.O,,,D0,EXE,,,Nbre des V.tes ,Nbre des V.tes éffect,Avcment           des travaux,R   PRO,D6,R DEF,Observations,
,,,Str,Elec,Fl,,Str,Elec,Fl,,,,,,,,
1,Aménagement de l'école primaire JOUAOUDA à MENZEL BOURGUIBA,Abdelwaheb Bannour                                           Gmati Salem,X,X,,X,X,,X,20,2,100%,,X,,Travaux achevés (absence des PV de RP)                                            Facture N°1 établie et transmise le 26/11/2019                                                            Facture N°2 établie et transmise le 21/10/2021,
2,Construction de lycée EL JALAA à BIZERTE,Abdelwaheb Bannour                                                           Gmati Salem,X,X,X,X,X,X,X,16,14,80%,,X,,Travaux en cours                                                            Facture N°1 établie et transmise le 06/07/2022   ,
3,Aménagement et entretien de l'école primaire BAZINA à JOUMINE,Abdelwaheb Bannour                                                 Gmati Salem,X,X,,X,,,,6,,0%,,X,,Travaux non entamnés,DAO EL A VERIFIER SOUSSE
4,Aménagement et entretien de l'école primaire Avenue Hbib Bourguiba à MENZEL JMIL,Abdelwaheb Bannour                                              Gmati Salem,X,X,X,X,X,X,X,6,5,100%,X,X,X,Travaux réceptionnés                                                                          Facture N°1 établie et transmise le 20/11/2019                                                                         Facture N°2 établie et transmise le 21/10/2021,D0 + D6 SOUSSE
5,Aménagement et entretien de l'école primaire JBAL SEMMEN à JOUMINE,Abdelwaheb Bannour                                                    Gmati Salem,X,X,X,X,X,X,X,6,6,100%,X,X,,Travaux réceptionnés                                                                                                   Facture N°1 établie et transmise le 20/11/2019                                                                              Facture N°2 établie et transmise le 25/10/2021,
6,Construction d'une salle préparatoire à l'école primaire KHARRAT à BIZERTE SUD,Abdelwaheb Bannour                                          Gmati Salem,X,,X,X,,,,10,,0%,,X,,Travaux non entamnés,
7,Construction d'une salle de classe à l'école primaire Avenue de la république MENZEL JEMIL,Abdelwaheb Bannour                                                   Gmati Salem,X,,,X,,,,10,,0%,,X,,Travaux non entamnés,
8,Construction d'une salle de classe à l'école primaire EL HAY EL JADID à RAS JEBAL,Abdelwaheb Bannour                                                   Gmati Salem,X,,,X,,,,10,,0%,,X,,Travaux non entamnés,
9,Construction d'une école primaire à HAFER MHOR ,Abdelwaheb Bannour                                                   Gmati Salem,,,,X,,,,6,7,100%,,X,X,Travaux achevés (absence des L. App. Des tous les lots / absence des PVs de réception),
