CRE JENDOUBA,,,,,,,,,,,,,,,,,
N°,Nom de projet ,L'Ingénieur chargé de l'affaire,D.A.O,,, D0,EXE,,,Nbre des V.tes ,Nbre des V.tes éffect,Avcment des travaux,R PRO,D6 ,R DEF,Observations,
,,,Str,Elec,Fl,,Str,Elec,Fl,,,,,,,,
1,"Entretien et aménagement de l'école primaire 02 Mars ""AIN DRAHEM"".",Abdelwaheb Bannour                Larbech Adel                   Gmati Salem  ,X,X,X,,,,,6,4,100%,X,,,Facture N°1 établie et transmise le 18/08/2023                                                                                    Facture N°2 établie et transmise le 12/12/2023 A VERIFIER PV RP,
2,"Entretien et aménagement de l'école primaire""HLIMA"" JENDOUBA.",,X,X,X,,X,X,X,,5,100%,X,,X,,
3,"Entretien de l'école primaire ""EL MANGOUCH"" à BOUSSALEM. ",,X,X,X,,X,X,X,,5,100%,X,,,,
4,"Entretien de l'école primaire ""SIDI BELGACEM"".",,X,X,X,,X,X,X,,4,100%,X,,,,
5,"Travaux d'entretien et de réaménagement de l'école primaire "" AIN EL MATOUIA"" TR1.",,X,X,X,,X,X,X,,4,100%,X,,,,
6,Construction d'une salle normale à l'école primaire ESSARAYA GHARDIMAOU,Abdelwaheb Bannour Larbech Adel                     Gmati Salem ,X,,,,,,,6,4,100%,X,,,,
7,Construction d'un bloc sanitaire à l'école primaire EZZRAIBIA GHARDIMAOU,,,,,,,,,,,,,,,,
8,Construction d'un bloc sanitaire à l'école primaire ELBRANSIA GHARDIMAOU,,,,,,,,,,,,,,,,
9,Construction d'une cantine à l'école primaire ETTAREF GHARDIMAOU,,X,X,X,,X,X,X,,6,100%,X,,,,
10,Construction d'une cantine à l'école primaire EZZRAIBIA GHARDIMAOU,,,,,,,,,,,,,,,,
11,Construction d'une cloture à l'école primaire ELMREGHMA OUED MLIZ,,,,,,,,,,,,,,,,
12,Construction d'une aire préscolaire à l'école primaire ELBAYADHA GHARDIMAOU,,,,,,,,,,,,,,,,
13,Construction d'une aire préscolaire à l'école primaire ABASSA GHARDIMAOU,,X,X,X,,X,X,X,,4,100%,X,,,,
14,Construction d'une aire préscolaire à l'école primaire BOURIHEN GHARDIMAOU,,,,,,,,,,,,,,,,
15,Entretien de l'école primaire EZZOUBIA OUED MLIZ,Abdelwaheb Bannour                Larbech Adel  ,X,X,X,,,,,8,2,100%,,,,Travaux en cours                                                      Facture N°1 établie et transmise le 14/08/2023,
16,Entretien de l'école primaire BEN BECHIR JENDOUBA NORD,,,,,,,,,15,,0%,,,,Travaux non entamés  ,
17,Entretien de l'école primaire EL MALGUA JENDOUBA,Abdelwaheb Bannour                Larbech Adel   ,X,X,X,,,,,8,4,40%,,,,Facture N°1 établie et transmise le 02/12/2024,EN ARRET
18,Entretien de l'école primaire ESSARA Délégation GHARDIMAOU.,Abdelwaheb Bannour                Larbech Adel                     ,X,X,X,,X,X,X,8,3,100%,X,,,Travaux réceptionnés                                                 Facture N°1 établie et transmise le 14/08/2023                                                                             Facture N°2 établie et transmise le 07/08/2025  ,
