CRE MANOUBA,,,,,,,,,,,,,,,,
N°,Nom de projet ,L'Ingénieur chargé de l'affaire,D.A.O,,,D0,EXE,,,Nbre des V.tes ,Nbre des V.tes éffect,Avcment des travaux,R PRO,D6,R DEF,Observations
,,,Str,Elec,Fl,,Str,Elec,Fl,,,,,,,
1,Aménagement de l'école primaire KHAZNADAR DENDEN à MANOUBA.,Abdelwaheb Bannour                                       Gmati Salem,X,X,X,,X,X,X,6,5,90%,,,,Travaux en cours                                                                Facture N°1 établie et transmise le 19/01/2021                                                          Facture N°2 établie et transmise le 29/08/2022 
2,Construction  d'une école primaire et un collège à MORNAGUIA.,Abdelwaheb Bannour                                       Gmati Salem,X,X,X,X,X,X,X,35,29,100%,X,X,,Travaux réceptionnés                                                                                                  Facture N°1 établie et transmise le 30/08/2022                                                                                              Facture N°2 établie et transmise le 13/11/2025 
3,Construction de deux salles normales à l'école primaire MORNAGUIA 1.,Abdelwaheb Bannour                                       Gmati Salem,X,X,,X,X,,,F ,11,100%,X,X,,Facture N°1 établie et transmise le 08/11/2019                                                                                  Facture N°2 établie et transmise le 01/11/2021    
4,Entretien de l'école primaire 02 Mars MORNAGUIA.,Abdelwaheb Bannour                                       Gmati Salem,X,X,X,,,,,15,15,100%,X,,,Travaux réceptionnés                                                                       Facture N°1 établie et transmise le 19/01/2021                                                                                    Facture N°2 établie et transmise le 13/09/2022 
5,Construction d'une salle de permanance au lycée OUED ELLIL à MORNAGUIA.,Abdelwaheb Bannour                                       Gmati Salem,X,X,,,,,,7,,0%,,,,Travaux non entamés                                                                              Facture N°1 établie et transmise le 31/10/2018 
6,Réaménagement de l'école primaire GOMRIENE à TEBOURBA  à MANOUBA.,Abdelwaheb Bannour                                       Gmati Salem,X,,,X,,,,25,,0%,,X,,Travaux non entamés       
7,Extension d'une salle normale au lycée FARABI MORNAGUIA et 02 salles normales au lycée IBN MANDHOUR BORJ EL AMRI- programme 2016.,Abdelwaheb Bannour                                       Gmati Salem,X,X,,X,,,,F ,1,0%,,X,,Travaux non entamés                                                                                      Facture N°1 établie et transmise le 23/03/2018          
8,Construction de deux restaurants aux écoles primaires TBOLTECH EL MORNAGUIA et AIN KARMA TEBOURBA.,Abdelwaheb Bannour                                       Gmati Salem,,X,X,,,,,20,,0%,,,,Travaux non entamés     
9,Construction d'un collège à BORJ ETTOUMI MANOUBA.,Abdelwaheb Bannour                                       Gmati Salem,X,X,X,X,,X,,35,19,90%,,X,,Travaux en cours                                                          Facture N°1 établie et transmise le 18/08/2022                                                                   Facture N°2 établie et transmise le 23/10/2025 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,Lot non prévu,,,,,,,,,,
,,,,,,Dossier non reçu,,,,,,,,,,
,,,,,,Dossier non approuvé,,,,,,,,,,
,,,,,,Dossier reçu et en cours de vérification,,,,,,,,,,
,,,,,,MAJ TUNIS,,,,,,,,,,
