DRE ARIANA,,,,,,,,,,,,,,,,,
N°,Nom de projet ,L'Ingénieur chargé de l'affaire,D.A.O,,,D0,EXE,,,Nbre des V.tes ,Nbre des V.tes éffect,Avcment des travaux,R PRO,D6,R DEF,Observations,
,,,Str,Elec,Fl,,Str,Elec,Fl,,,,,,,,
1,Construction d'un piscine municipal ARIANA.,Abdelwaheb Bannour                                                      Gmati Salem,X,X,X,,,,,F,,0%,,,,Travaux non entamés                                                                           Facture N°1 établie et transmise le 05/11/2019  ,
2,Construction d'un Théâtre Municipal.,Abdelwaheb Bannour                                                      Gmati Salem,X,X,X,,,,,F,,0%,,,,Travaux non entamés                                                                           Facture N°1 établie et transmise le 20/01/2021 ,
3,Construction d'un mur de soutènement et travaux des voiries et réseaux divers à l'Hôpital ABDERRAHMEN MAMI ARIANA.,Abdelwaheb Bannour,X,,,,X,,,F,1,0%,,,,Travaux non entamés                                                             Facture N°1 établie et transmise le 27/05/2025  ,
4,Construction d'un complexe d'enfance à EL MENZEH 6.,Abdelwaheb Bannour                                                      Gmati Salem,X,X,X,,X,X,X,F,13,80%,,,,Travaux en cours (BC non reçu)                                                                               Facture N°1 établie et transmise le 05/11/2019                                                             Facture N°2 établie et transmise le 13/09/2022  ,A VERIFIER AVENANT AVEC MABROUKA
5,Aménagement de deux rond points à la ville de KALAAT AL ANDALOUS.,Abdelwaheb Bannour,X,,,,,,,F,,0%,,,,Travaux non entamnés                                                                     Facture N°1 établie et transmise le 02/07/2025  ,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Lot non prévu,,,,,,,,,
,,,,,,,,Dossier non reçu,,,,,,,,,
,,,,,,,,Dossier non approuvé,,,,,,,,,
,,,,,,,,Dossier reçu et en cours de vérification,,,,,,,,,
,,,,,,,,MAJ TUNIS,,,,,,,,,
