DRE BEN AROUS ,,,,,,,,,,,,,,,,,
N°,Nom de projet ,L'Ingénieur chargé de l'affaire,D.A.O,,,D0,EXE,,,Nbre des V.tes ,Nbre des V.tes éffect,Avcment des travaux,R PRO,D6,R DEF,Observations,
,,,Str,Elec,Fl,,Str,Elec,Fl,,,,,,,,
1,Aménagement des voiries et des réseaux divers à la caserne des unités d'intervention à RADES FORET. ,Abdelwaheb Bannour                                       Gmati Salem,X,X,X,X,X,X ,,F,9,100%,X,,,Travaux réceptionnés                                                 Facture N°1 établie et transmise le 08/06/2020                                            Facture N°2 établie et transmise le 26/08/2021,
2,Aménagement de la maison des jeunes  MHAMDIA (Correction acoustique des salles spécialisées et engazonnement de stade).,Abdelwaheb Bannour                                       Gmati Salem,X,X,,X,,X,,8,,0%,,X,,Travaux non entamés                                                          Facture N°1 établie et transmise le 04/11/2021,
3,Achèvement des travaux de construction du secteur de la garde nationale de BEN AROUS (aménagement du sous sol pour un parking).,Abdelwaheb Bannour                                       Gmati Salem,X,X,,X,,X,,8,2,100%,,X,,Travaux non entamés                                                 Facture N°1 établie et transmise le 09/08/2022,
4,Aménagement de la maison des jeunes MOUROUJ 4.,Abdelwaheb Bannour                                       Larbech Adel                                   Gmati Salem,X,X,X,X,X,X,X,5,4,100%,X,X,,Travaux réceptionnés                                                       Facture N°1 établie et transmise le 09/08/2022                                                  Facture N°2 établie et transmise le 13/08/2025,
5,Construction d'un marché municipal moderne à MHAMDIA.,Abdelwaheb Bannour                                       Gmati Salem,X,X,X,X,X,,,20,10,60%,,X,,Travaux en cours                                                     Facture N°1 établie et transmise le 09/11/2022  ,
6,Extension de siège de la sureté nationale cité EL MZOUGHI BIR EL KASSAA (Installation de poste de transformation).,Gmati Salem,,X,,,,,,F,,0%,,,,Travaux non entamés                                           Facture N°1 établie et transmise le 26/03/2018,
7,Aménagement et extension de l'atelier central des moyens de transport à BIR EL KASSAA T2.,Abdelwaheb Bannour                                       Gmati Salem,X,X,,,X,X,,F,11,100%,X,X,,Travaux réceptionnés                                                         Facture N°1 établie et transmise le 15/03/2018                                                             Facture N°2 établie et transmise le 24/04/2024,
8,Construction deux sièges pour le brigade d'explosif et une voie publique à MHAMDIA.,Abdelwaheb Bannour                                       Gmati Salem,X,X,X,X,X,X,X,18,9,100%,,X,,Facture N°1 établie et transmise le 17/03/2025 ,D6 SOUSSE
9,Travaux de stabilisation du talus à coté de la cloture du centre culturel et sportif pour la jeunesse à BEN AROUS.,,,,,,,,,F,,0%,,,,Travaux non entamés     ,
10,Aménagement de centre de réeducation des enfants délinquants EL MOUROUJ.,Abdelwaheb Bannour                                       Gmati Salem,X,X,X,X,X,X,X,15,6,100%,,X,,Travaux non entamés                                                    Facture N°1 établie et transmise le 18/08/2022,
11,Eclairage de stade municipal de foot ball à EZZAHRA.,,,,,X,,,,8,,0%,,X,,Travaux non entamés     ,
12,Aménagement de l'église sainte marie à HAMMEM LIF.,Abdelwaheb Bannour ,X,,,X,,,,10,6,50%,,X,,Travaux en cours,CHANTIER EN ARRET
13,Réaménagement des voiries et des différents réseaux à la brigade d'intervention de NAASAN.,Gmati Salem,,,X,X,,,,10,,0%,,X,,Travaux non entamés,
14,Aménagement d'un terrain de sport - mini foot sis à prison civil MORNEG.,Abdelwaheb Bannour ,X,,,X,,,,8,3,100%,,X,,Travaux en cours                                                       Facture N°1 établie et transmise le 16/08/2022,
15,Travaux de quatre projets programme 2019 appartenant à la municipalité de MEGRINE.,Abdelwaheb Bannour                                   Gmati Salem,X,,,,X,,X,30,7,40%,,,,Travaux en cours                                                                      Facture N°1 établie et transmise le 12/08/2022,CHANTIER EN ARRET
16,Construction d'un magasin de timbre fiscal et d'un local d'archive à RADES.,Abdelwaheb Bannour                                   Gmati Salem,X,X,X,X,,,,F,,0%,,X,,Facture N°1 établie et transmise le 21/11/2024,TRAVAUX NON ENTAMES
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Lot non prévu,,,,,,,
,,,,,,,,,,Dossier non reçu,,,,,,,
,,,,,,,,,,Dossier non approuvé,,,,,,,
,,,,,,,,,,Dossier reçu et en cours de vérification,,,,,,,
,,,,,,,,,,MAJ TUNIS,,,,,,,
