DRE EL KEF,,,,,,,,,,,,,,,,,
N°,Nom de projet ,L'Ingénieur Chargé de l'affaire,D.A.O,,,D0,EXE,,,Nbre des V.tes ,Nbre des V.tes éffect,Avcment des travaux,R PRO,D6,R DEF,Observations,
,,,Str,Elec,Fl,,Str,Elec,Fl,,,,,,,,
1,Eclairage public aux délégation du KEF-EST,Larbech Adel,,X,,X,,X,,3,1,100%,X,X,X,Travaux réceptionnés                                             Facture N°1 établie et transmise le 17/08/2023,ECLAIRAGE PUBLIQUE PAS DE D0 ET D6
2,Eclairage public aux délégation du KEF -OUEST,Larbech Adel,,X,,X,,X,,3,1,100%,,X,X,Travaux réceptionnés                           (manque PV de RP)                                                                       Facture N°1 établie et transmise le 17/08/2023,ECLAIRAGE PUBLIQUE PAS DE D0 ET D6
3,Eclairage public aux délégation du KEF -TOUIREF,Larbech Adel,,X,,X,,X,,3,1,50%,,X,,Travaux en cours                                                    Facture N°1 établie et transmise le 17/08/2023,ECLAIRAGE PUBLIQUE PAS DE D0 ET D6
4,Aménagement de deux zones vertes cité EL ONES au KEF OUEST,Abdelwaheb Bannour Larbech Adel,X,X,,X,,,,5,,0%,,X,,  Travaux non entamés                                              Facture N°1 établie et transmise le 17/08/2023,
5,Construction d'un dortoir à la poste frontalière de la garde nationale oued elrmal-ELKEF ,Larbech Adel,,,,X,,X,,10,1,100%,X,X,X,Travaux réceptionnés                                             ,D0 ET D6 SOUSSE
6,Renforcement de l'institut supérieure de l'informatique au KEF ,Abdelwaheb Bannour Larbech Adel,X,X,,X,,X,,10,9,90%,,X,,  Travaux non entamés                                              Facture N°1 établie et transmise le 17/08/2023,
7,Construction d'un local pour le groupe d'intervention rapide de la garde nationale du KEF,Larbech Adel,X,X,X,X,X,X,X,18,14,100%,X,X,,Travaux réceptionnés                                             Facture N°1 établie et transmise le 19/02/2021 Facture N°2 établie et transmise le 24/05/2023,
8,Aménagement du stade municipal de SAKIET SIDI YOUSSEF (Accotement du stade),Abdelwaheb Bannour,X,,,X,X,,,5,0,100%,0,X,X,  Travaux non entamés                                              Facture N°1 établie et transmise le 17/08/2023,PAS DE D0 ET D6
9,Aménagement du stade municipal à SERES (Accotement du stade),Abdelwaheb Bannour,X,,,X,,,,5,5,100%,X,X,,Travaux réceptionnés                                                              Facture N°1 établie et transmise le 17/08/2023,PAS DE D0 ET D6
10,Aménagement du stade municipal à SERES (Aménagement des vestaires),Abdelwaheb Bannour                          Larbech Adel                            Hedfi Mahdi,X,X,X,X,,,,15,3,100%,X,X,,Travaux réceptionnés                                             Facture N°1 établie et transmise le 17/08/2023,PAS DE D0 ET D6
11,Protection du stade municipal TAJROUINE des eaux pluviales,Abdelwaheb Bannour,X,,,X,X,,,15,5,100%,,X,,                                             Facture N°1 établie et transmise le 17/08/2023,PAS DE D0 ET D7
12,construction du siège de la groupe mobile de la garde nationale au TEJEROUINE,Abdelwaheb Bannour                                      Larbech Adel                                                  Gmati Salem,X,X,X,X,X,X,X,24,22,100%,X,X,,Travaux réceptionnés                                            Facture N°1 établie et transmise le 19/02/2021 Facture N°2 établie et transmise le 13/10/2022,
13,Aménagement de la maison des jeunes DAHMANI,Larbech Adel                                         Hedfi Mahdi ,X,,,X,X,,X,8,6,100%,X,X,,Travaux réceptionnés         ,PAS DE D0 ET D6
14,Aménagement de la maison des jeunes DAHMANI                               (Electricité et Fluides),,,,,X,,,,15,,0%,,X,,  Travaux non entamés                                                (BC reçcu / Dossiers non reçus),
15,Construction d'une clôture et d'un abri pour ambulance au centre de santé de base type 4 à TOUIREF ,Abdelwaheb Bannour  ,X,,,X,X,,,7,,100%,X,X,,Travaux réceptionnés         ,D0 ET D6 SOUSSE
16,Entretien du palais de la municipalité du JERISSA ,Larbech Adel                     Hedfi Mahdi ,,X,X,X,,X,,10,,0%,,X,,  Travaux non entamés                                                ,
