DRE JENDOUBA,,,,,,,,,,,,,,,,,
N°,Nom de projet ,L'Ingénieur chargé de l'affaire,D.A.O,,, D0,EXE,,,Nbre des V.tes ,Nbre des V.tes éffect,Avcment des travaux,R PRO,D6 ,R DEF,Observations,
,,,Str,Elec,Fl,,Str,Elec,Fl,,,,,,,,
1,Extension de marché municipal TABARKA.,Abdelwaheb Bannour                                      Larbech Adel                            Hedfi Mahdi,X,X,X,X,,,,8,1,20%,,X,,Travaux non entamés                                                    Facture N°1 établie et transmise le 31/05/2023 EXP                                                                         Facture N°2 établie et transmise le 11/08/2023,
2,Aménagement de l'installation électrique à l'institut sup des sciences humaines à JENDOUBA.,SALEM GMATI,,X,,,,,,6,6,100%,X,,,Travaux non entamés                                                     Facture N°1 établie et transmise le 29/03/2021 EXP,
3,Aménagement des labos au profit de l'Institut Nationale des Technologies et des Sciences - local au sein de l'Institut Supérieur de l'Informatique du KEF.,Abdelwaheb Bannour                                      Larbech Adel ,X,X,,,X,X,,10,10,100%,X,,,Travaux réceptionnés                                                             Facture N°1 établie et transmise le 04/08/2025,A SOLDER
4,Entretien et rénovation de la cuisine de l’hôpital régional de JENDOUBA. ,Abdelwaheb Bannour,X,,,,,,,,,,,,,Travaux non entamés  (manque de consultation),VERIFIER BC EN INSTANCE
5,Rénovation du réseau d'assainissement de l'hôpital régionale de JENDOUBA.,Abdelwaheb Bannour      ,,,,X,,,,8,,0%,X,,,Travaux non entamés  ,
6,Réaménagement du service de gynécologie et obstétrique de l'hôpital régionale de JENDOUBA.,Hammami Kais                               Gmati Salem                                Triki Walid,,,,X,,,,12,,,X,,,Travaux non entamés  ,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Lot non prévu,,,,,,,
,,,,,,,,,,Dossier non reçu,,,,,,,
,,,,,,,,,,Dossier non approuvé,,,,,,,
,,,,,,,,,,Dossier reçu et en cours de vérification,,,,,,,
,,,,,,,,,,MAJ TUNIS,,,,,,,
