DRE MANOUBA,,,,,,,,,,,,,,,,
N°,Nom de projet ,L'Ingénieur chargé de l'affaire,D.A.O,,,D0,EXE,,,Nbre des V.tes ,Nbre des V.tes éffect,Avcment des travaux,R PRO,D6,R DEF,Observations
,,,Str,Elec,Fl,,Str,Elec,Fl,,,,,,,
1,Extension et aménagement de l'arrondissement d'ESSAIDA.,Abdelwaheb Bannour                                                      Gmati Salem,X,X,,X,,,,F,,0%,,X,,Travaux non entamés                                                                                      Facture N°1 établie et transmise le 04/02/2022                                                                                 Facture N°2 établie et transmise le 09/09/2022
2,Construction d'un complexe culturel et du siège de la Délégation Régionale des Affaires Culturelle de MANOUBA.,Abdelwaheb Bannour                                                      Gmati Salem,X,X,X,,,,,F,,0%,,,,Travaux non entamés                                                         Facture N°1 établie et transmise le 08/08/2022
3,Construction d'un marché municipal à CHEBBAOU à OUED ELLIL.,Abdelwaheb Bannour                                   Gmati Salem,,X,,X,,,,F,,0%,,X,,Travaux non entamés
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,Lot non prévu,,,,,,,,,,
,,,,,,Dossier non reçu,,,,,,,,,,
,,,,,,Dossier non approuvé,,,,,,,,,,
,,,,,,Dossier reçu et en cours de vérification,,,,,,,,,,
,,,,,,MAJ TUNIS,,,,,,,,,,
