DRE SILIANA,,,,,,,,,,,,,,,,,,,,,
N°,Nom de projet ,L'Ingénieur chargé de l'affaire,D.A.O,,,D0,EXE,,,Nbre des V.tes ,Nbre des V.tes éffect,Avcment des travaux,R PRO,D6,R DEF,Observations,,,,,
,,,Str,Elec,Fl,,Str,Elec,Fl,,,,,,,,,,,,
1,Construction de complexe de finance à ROUHIA SILIANA,Chaari Bilel                                       Larbech Adel                                                 Hedfi Mahdi,X,X,X,X,X,X,X,20,8,100%,X,X,X,Travaux réceptionnés                                                     Facture N°1 établie et transmise le 27/09/2022,D0 + D6 SOUSSE,,,,
2,Construction d'une trésorerie régionale et d'une recette de finance et un local d'archives régional et un logement de fonction à SILIANA,Abdelwaheb Bannour                                                Gmati Salem  ,X,,X,X,X,,,20,10,50%,,X,,Travaux en cours,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,
3,Construction du siège de la délégation et un logement de fonction à BOUARADA,,,,,X,,,,10,,0%,,X,,  Travaux non entamés                                                          (BC reçcu / Dossiers non reçus),,,,,
4,Réaménagement d'une maison des jeunes à KESRA 3ème T,,,,,X,,,,10,,0%,,X,,Travaux non entamés                                                          (BC reçcu / Dossiers non reçus),,,,,
5,Aménagement et entension de la commissariat régionale des affaires culturelles de SILIANA,Hammami Kais                                                       Larbech Adel                                                                  Hedfi Mahdi,X,X,X,X,X,X,X,20,1,100%,X,X,X,Travaux réceptionnés                                                      Facture N°1 établie et transmise le 21/09/2023,,,,,
6,Réaménagement du centre d'hébergement MAKTHER,Hammami Kais                                                     Larbech Adel                                                         Hedfi Mahdi,X,X,X,X,,,,5,,0%,,X,,Travaux non entamés                                                         Facture N°1 établie et transmise le 21/09/2023,,,,,
7,Aménagement de la salle de sport individuelle à MAKTHER,,,,,X,,,,21,,0%,,X,,Travaux non entamés                                                           (BC reçcu / Dossiers non reçus),,,,,
8,Construction d'un centre des arts scéniques et dramatiques à SILIANA,Abdelwaheb Bannour                                                     Gmati Salem  ,X,X,X,X,X,,,10,4,30%,,X,,Travaux en cours                                                             Facture N°1 établie et transmise le 21/09/2023,,,,,
9,Aménagement de la maison de culture LAAROUSSA,Abdelwaheb Bannour                                               Gmati Salem                 ,X,X,X,X,,,,20,9,20%,,X,,Travaux suspendus                                                      Facture N°1 établie et transmise le 21/09/2023,,,,,
10,Construction d'un espace permanent pour exposer les produits des femmes rurales de SILIANA,Abdelwaheb Bannour                                                       Gmati Salem  ,X,X,X,X,,,,20,,0%,,X,,Travaux non entamés                                         ,,,,,
11,Construction du siege de la direction régionale du Commerce à SILIANA,Abdelwaheb Bannour                                                                        Gmati Salem  ,X,X,X,X,X,X,X,20,8,100%,X,X,,Travaux réceptionnés                                                     Facture N°1 établie et transmise le 08/09/2022,,,,,
12,Extension et aménagement du tribunal MAKTHER, Hedfi Mahdi,,,,X,,,,20,,0%,,X,,Travaux non entamés      ,,,,,
13,Construction d'une section d'inspection de travail et de la conciliation de SILIANA,Hammami Kais                                                      Larbech Adel                                                               Hedfi Mahdi,X,X,X,X,X,X,X,20,6,100%,X,X,,Travaux réceptionnés                                                 Facture N°1 établie et transmise le 22/08/2022,,,,,
14,Construction d'une bibliothèque municipale à EL AKHOUET,Abdelwaheb Bannour                                                                     Gmati Salem  ,X,X,X,X,X,X,X,10,9,100%,X,X,,Travaux réceptionnés                                                 Facture N°1 établie et transmise le 08/12/2021                                                          Facture N°2 établie et transmise le 08/09/2022,,,,,
15,Construction d'un pôle de soin de la mère et l'enfant et un ascenseur à l'Hôpital Régional de SILIANA,Abdelwaheb Bannour Gmati Salem  ,X,X,X,X,,,,20,,0%,,X,,Travaux non entamés                                                  Facture N°1 établie et transmise le 28/12/2021,,,,,
16,Construction d'une salle couverte de tennis de table sise à   El Aroussa - SILIANA,Abdelwaheb Bannour                                                               Gmati Salem  ,,,,X,,,,41,,0%,,X,,Travaux non entamés                                                           (R. Géo. reçu)                                               ,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,Lot non prévu,,,,,,,,,,, ,,,,,
,,,,,Dossier non reçu,,,,,,,,,,,                                                                                    ,,,,,
,,,,,Dossier non approuvé,,,,,,,,,,,,,,,,
,,,,,Dossier reçu et en cours de vérification,,,,,,,,,,,,,,,,
,,,,,MAJ TUNIS,,,,,,,,,,,,,,,,
