TUNIS,,,,,,,,,,,,,,,,
N°,Nom de projet ,L'Ingénieur chargé de l'affaire,D.A.O,,,D0,EXE,,,Nbre des V.tes ,Nbre des V.tes éffect,Avcment des travaux,R PRO,D6,R DEF,Observations
,,,Str,Elec,Fl,,Str,Elec,Fl,,,,,,,
1,Réaménagement du marché municipal de SIDI HASSINE T2.,Abdelwaheb Bannour                                       Gmati Salem,X,X,X,X,X,X,,30,18,100%,X,X,,Travaux réceptionnés                                                       Facture N°1 établie et transmise le 24/06/2019                                                                  Facture N°2 établie et transmise le 05/10/2021
2,Rénovation des élévateurs au siège du Ministère des Affaires Etrangères de la Migration et des Tunisiens à l'Etranger,Gmati Salem,,X,,,,X,,20,1,100%,X,,,Travaux réceptionnés                                                                                    Facture N°1 établie et transmise le 05/06/2023                                                                              Facture N°2 établie et transmise le 20/10/2025
3,Rénovation de l'installation de sécurité incendie au siège du Ministère des Affaires Etrangères de la Migration et des Tunisiens à l'Etranger.,Gmati Salem,,X,,,,X,,20,1,100%,X,,,Travaux réceptionnés                                                                                      Facture N°1 établie et transmise le 05/06/2023                                                                                   Facture N°2 établie et transmise le 20/10/2025
4,Entretien et réparation du centre de visite technique des vehicules de KAIROUAN.,Abdelwaheb Bannour                                                    Hedfi Mahdi,X,,,X,X,X,,13,11,80%,,X,,Travaux en cours                                                          Facture N°1 établie et transmise le 30/10/2025
5,"Travaux de renforcement des services de radiologie médicale, de laboratoire et de pharmacie à l'hôpital régional Mahmoud El Matri de ARIANA.",Abdelwaheb Bannour                                                    Gmati Salem,X,X,X,X,,,,15,9,80%,,X,,Travaux en cours                                                                                      Facture N°1 établie et transmise le 05/06/2023
6,Aménagement du dépôt N°4 (DSSB) au dépôt Chabbi Ministère de Santé.,,,,,X,,,,8,,0%,,X,,Travaux non entamés  
7,Aménagement d'un terrain de quartier à CITE EL HABIB et d'un terrain d'entraînement de hand Ball à ARDH El KARIMA.,Abdelwaheb Bannour                                       Gmati Salem,X,X,,,X,X,,10,6,100%,,,,Travaux achevés                                              Facture N°1 établie et transmise le 05/06/2023
8,Aménagement de la salle scanner au centre médical des DOUANES.,Abdelwaheb Bannour                                       Gmati Salem,X,X,,X,X,X,,F,3,100%,X,X,,Travaux réceptionnés                                                                                          Facture N°1 établie et transmise le 11/12/2024                                                                                      Facture N°2 établie et transmise le 25/04/2025
9,Construction d'une salle de sport multidisicplinaire à l'Ecole Nationale de la Protection Civile.,,,,,X,,,,40,,0%,,X,,Travaux non entamés      
10,Travaux de sécurisation des murs extérieurs des anciens bâtiments de la caserne EL GORJENI (EL KECHLA).,Abdelwaheb Bannour  ,X,,,X,,,,F,,0%,,X,,Travaux non entamés                                                Facture N°1 établie et transmise le 31/07/2025 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,Lot non prévu,,,,,,,,,
,,,,,,,Dossier non reçu,,,,,,,,,
,,,,,,,Dossier non approuvé,,,,,,,,,
,,,,,,,Dossier reçu et en cours de vérification,,,,,,,,,
,,,,,,,MAJ TUNIS,,,,,,,,,
